City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sinaloa de leyva,25.8333,-108.2333,18.67,44,83,1.1,MX,1708660208
83,ellore,16.7,81.1,28.05,57,94,3.39,IN,1708659968
84,ar rutbah,33.0381,40.2848,10.24,60,71,3.5,IQ,1708660208
85,al burayqah,30.4062,19.5739,14.61,54,6,4.91,LY,1708660209
86,tolanaro,-25.0319,46.9987,25.04,94,20,7.2,MG,1708660209
87,colonia,50.9333,6.95,6.09,73,0,4.12,DE,1708660000
88,puerto quijarro,-17.7833,-57.7667,23.32,90,38,1.03,BO,1708660209
89,akureyri,65.6835,-18.0878,-2.04,93,100,2.06,IS,1708660210
90,zhanibek,49.4167,46.85,-9.21,82,88,3.7,KZ,1708660210
91,port-vila,-17.7338,168.3219,31.78,66,40,6.17,VU,1708660210
92,acaponeta,22.4964,-105.3594,20.96,69,100,0.51,MX,1708660210
93,hailar,49.2,119.7,-19.16,80,33,2.1,CN,1708660211
94,luzilandia,-3.4578,-42.3703,22.69,97,100,1.26,BR,1708660211
95,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,65,40,8.05,RU,1708660211
96,kourou,5.1552,-52.6478,23.03,74,61,5.31,GF,1708660212
97,yalutorovsk,56.6536,66.3006,-24.46,96,50,3.13,RU,1708660089
98,saudarkrokur,65.7461,-19.6394,-4.42,91,58,0.91,IS,1708660212
99,gurh,24.5167,81.5167,20.21,42,80,0.96,IN,1708660212
100,talnakh,69.4865,88.3972,-18.22,95,100,5.81,RU,1708660212
101,ribeira grande,38.5167,-28.7,12.1,80,98,3.58,PT,1708660213
102,hadibu,12.65,54.0333,25.47,65,59,5.47,YE,1708660213
103,knokke,50.7979,3.3628,5.5,90,53,1.79,BE,1708660213
104,abbottabad,34.1469,73.2145,8.13,38,87,2.24,PK,1708660214
105,isafjordur,66.0755,-23.124,-1.65,93,100,11.26,IS,1708660214
106,margaret river,-33.95,115.0667,25.58,42,6,2.41,AU,1708660024
107,seryshevo,51.0933,128.3786,-10.36,69,2,3.57,RU,1708660214
108,mount gambier,-37.8333,140.7667,18.4,45,96,5.44,AU,1708660021
109,kpandae,8.4689,-0.0113,27.0,38,74,1.65,GH,1708660215
110,jamestown,42.097,-79.2353,6.77,100,100,0.89,US,1708660044
111,bamyan,34.75,67.25,-16.61,73,12,0.47,AF,1708660215
112,i-n-salah,27.1935,2.4607,12.41,44,0,4.21,DZ,1708660216
113,myadzyel,54.8731,26.9359,3.54,96,100,6.69,BY,1708660216
114,razole,16.4833,81.8333,29.31,59,98,3.06,IN,1708660216
115,tiksi,71.6872,128.8694,-24.34,97,98,3.42,RU,1708660217
116,nar'yan-mar,67.6713,53.087,-4.94,91,100,7.15,RU,1708659969
117,mankono,8.0586,-6.1897,22.56,18,21,2.14,CI,1708660218
118,bam,29.106,58.357,12.41,23,0,0.5,IR,1708660218
119,ancud,-41.8697,-73.8203,9.81,86,8,2.4,CL,1708660218
120,port mathurin,-19.6833,63.4167,27.07,86,100,7.17,MU,1708660219
121,mananjary,-21.2167,48.3333,25.21,87,89,0.51,MG,1708660220
122,yuzhno-kurilsk,44.0306,145.8556,-7.01,75,54,1.01,RU,1708660015
123,sinabang,2.4803,96.3801,29.95,66,71,1.41,ID,1708660221
124,tazovsky,67.4667,78.7,-22.17,99,46,3.38,RU,1708660221
125,arboga,59.3939,15.8388,4.52,97,100,5.99,SE,1708660221
126,iskateley,67.6803,53.1512,-4.99,91,100,7.15,RU,1708660222
127,geraldton,-28.7667,114.6,44.23,15,100,5.14,AU,1708660222
128,olinda,-8.0089,-34.8553,28.85,84,40,4.12,BR,1708660027
129,juneau,58.3019,-134.4197,2.0,97,100,8.75,US,1708660195
130,vadso,70.0744,29.7487,0.49,80,40,8.23,NO,1708660223
131,smirnovo,54.5125,69.4222,-32.99,99,60,1.53,KZ,1708660224
132,kamaishi,39.2667,141.8833,1.74,61,99,1.16,JP,1708660224
133,constantia,44.1833,28.65,5.39,85,100,7.7,RO,1708660225
134,bandarbeyla,9.4942,50.8122,26.05,69,93,7.53,SO,1708660225
135,vorgashor,67.5833,63.95,-8.55,95,100,6.43,RU,1708660012
136,bonthe,7.5264,-12.505,24.9,91,8,2.18,SL,1708660226
137,rio grande,-32.035,-52.0986,22.75,90,4,3.92,BR,1708660226
138,callao,-12.0667,-77.15,27.62,78,0,6.69,PE,1708660227
139,walvis bay,-22.9575,14.5053,15.61,88,42,2.6,NA,1708660227
140,bodo,67.28,14.405,5.02,65,0,7.72,NO,1708660227
141,kapuskasing,49.4169,-82.4331,-6.0,79,100,11.32,CA,1708660227
142,tacuarembo,-31.7333,-55.9833,21.91,73,100,1.29,UY,1708660228
143,mejit,10.2753,170.8646,26.88,82,59,7.95,MH,1708659961
